time,open,high,low,close,Volume
1614695400,324.25,324.33,318.14,318.4,48370034
1614781800,317.27,318.24,309.1,309.16,86301073
1614868200,308.78,312.04,300.11,304.1,139131582
1614954600,306.795,309.609,297.45,308.68,121523726
1615213800,308.12,310.06,299.51,299.94,88409781
1615300200,307.47,313.73,306.92,311.77,80391114
1615386600,316.16,316.47,310.17,310.88,76798065
1615473000,315.77,319.86,314.85,318.04,53484804
1615559400,313.86,318.2302,311.391,315.46,69315601
1615815000,315.79,319,314.095,318.83,43123176
1615901400,321.09,324.2,319.1,320.58,54925896
1615987800,317.45,323.85,315.68,321.9,78258729
1616074200,316.87,317.8801,311.57,312.04,82942269
1616160600,311.87,314.73,309.6601,313.14,78446204
1616419800,315.21,320.74,315.21,318.61,56194755
1616506200,319.73,321.09,316.375,317.22,53455411
1616592600,318.63,318.67,311.72,311.87,64803729
1616679000,309.968,312.885,307.3899,311.33,78729008
1616765400,311.11,316.33,309.67,316,63519634
1617024600,315.45,316.99,312.47,315.91,54607963
1617111000,313.89,314.91,311.54,314.32,44635676
1617197400,316.16,320.74,315.81,319.13,55032535
1617283800,323.07,324.71,322.81,324.57,55685602
1617629400,327.13,331.84,324.6375,331.05,42172475
1617715800,330.73,332.83,330.02,330.82,33537210
1617802200,330.33,332.48,329.37,331.62,32046381
1617888600,334.56,335.27,333.7399,335.08,29940799
1617975000,333.68,337.32,332.92,337.11,36664892
1618234200,336.04,337.1,334.73,336.67,25833013
1618320600,338.24,341.08,338.02,340.6,30374033
1618407000,340.85,340.98,335.67,336.51,42564337
1618493400,339.47,342.01,336.2153,341.61,36342821
1618579800,342.15,342.23,340.08,342.01,40860099
1618839000,340.39,341.58,336.9016,338.88,34533129
1618925400,338.2,339.52,334.3816,336.41,38081818
1619011800,335.09,339.48,333.97,339.29,36598082
1619098200,338.89,339.9,334.01,335.2,45936143
1619184600,335.85,340.767,335.85,339.42,36414916
1619443800,339.67,341.92,338.9,341.63,30811968
1619530200,341.93,342.15,339.17,340.15,33187183
1619616600,339.81,340.85,338.3301,339,33615696
1619703000,342.37,342.8,336.9001,340.22,37708884
1619789400,337.7,340.26,337.05,337.99,38263421
1620048600,339.23,340,335.73,336.19,29729730
1620135000,333.56,333.89,326.21,330.14,65146972
1620221400,332.25,333.14,328.23,329.03,46219307
1620307800,328.76,331.67,326.45,331.51,46814283
1620394200,334.37,336.65,331.6914,334.2,53324460
1620653400,332.78,332.96,325.55,325.76,60700462
1620739800,319.7,326.1299,319.02,325.31,71963612
1620826200,320.23,322.62,316,316.89,91164855
1620912600,319.92,322.4,316.9,319.34,69877765
1620999000,322.6,327.33,322.08,326.39,44370015
1621258200,324.63,326.3721,321.45,324.41,39394997
1621344600,325.39,326.65,321.94,322.22,36528454
1621431000,316.66,322.9,316.3,322.59,66319108
1621517400,324.12,329.71,323.89,328.83,46466135
1621603800,330.43,330.86,326.64,327.01,50330449
1621863000,329.37,333.67,326.9032,332.51,32475771
1621949400,334.07,334.81,331.755,332.97,31280314
1622035800,333.66,334.61,332.95,334.13,25444932
1622122200,333.67,334.54,332.67,332.88,27931747
1622208600,334.12,335.5699,333.6,333.93,29927449
1622554200,335.3,335.785,331.43,332.82,31145424
1622640600,333.25,334.34,331.695,333.47,22047940
1622727000,330.55,331.86,328.28,330,37057825
1622813400,331.85,336.0582,331.78,335.6,38736545
1623072600,335.05,336.66,334.34,336.6,32611852
1623159000,338.395,339.29,335.03,336.76,27282819
1623245400,338.17,338.97,336.651,336.84,21485319
1623331800,337.19,340.46,336.73,340.35,33702067
1623418200,340.36,341.25,339.69,341.24,21222830
1623677400,341.68,344.52,340.46,344.51,27827716
1623763800,344.15,344.47,341.52,342.26,35963780
1623850200,342.74,343.84,337.45,341.01,55399538
1623936600,339.97,346.38,339.92,345.34,59722700
1624023000,343.63,344.8082,341.86,342.63,55414862
1624282200,342.43,344.69,340.15,344.36,32992649
1624368600,344.15,348.03,343.84,347.57,28941626
1624455000,347.51,348.92,346.88,347.74,27188454
1624541400,349.73,351.46,349.17,349.89,32581605
1624627800,350.47,350.72,348.84,349.46,28682801
1624887000,350.78,353.85,350.72,353.71,39130305
1624973400,353.53,355.0199,352.67,354.99,29426039
1625059800,354.83,355.23,353.83,354.43,32723964
1625146200,354.07,355.09,352.68,354.57,29289978
1625232600,356.52,358.97,356.28,358.64,32727244
1625578200,359.26,360.48,356.49,360.19,38842397
1625664600,362.45,362.76,358.94,360.95,35265242
1625751000,355.74,359.65,354.42,358.77,50890021
1625837400,358.17,361.5,357.57,361.01,35184534
1626096600,362.45,362.89,360.83,362.42,25717677
1626183000,362.03,365.465,361.54,362.42,39723015
1626269400,364.83,365.49,362.22,363.07,35336350
1626355800,362.98,363.19,358.46,360.52,53391557
1626442200,361.4,362.41,357.24,357.6,47261961
1626701400,354.05,355.18,352.04,354.67,64404625
1626787800,355.63,360.28,353.8,358.79,42183702
1626874200,358.35,361.56,358.12,361.56,30259860
1626960600,361.77,363.96,361.77,363.95,30252240
1627047000,365.31,368.485,363.9157,368.2,31960799
1627306200,367.49,368.89,366.601,368.49,28438126
1627392600,368.22,368.22,360.16,364.43,57933148
1627479000,365.6,367.45,363.24,365.83,42066195
1627565400,365.25,367.6794,365.25,366.48,25672533
1627651800,362.44,365.17,362.41,364.57,36484649
1627911000,366.28,366.88,363.87,364.6,27334097
1627997400,365.28,366.93,362,366.81,35558511
1628083800,366.77,368.32,365.63,367.34,29602236
1628170200,368.18,369.91,367.45,369.67,21443925
1628256600,368.37,369.37,366.905,368.05,33332107
1628515800,368.52,369.27,367.39,368.73,25960245
1628602200,369.26,369.56,365.62,366.84,35130796
1628688600,368.14,368.65,364.84,366.21,34249812
1628775000,365.69,367.9,364.295,367.53,26003877
1628861400,367.89,369.16,367.38,368.82,19336190
1629120600,367.67,369.02,363.7,368.98,35044107
1629207000,366.15,367.15,363.23,365.73,44793902
1629293400,365.18,366.62,361.865,362.21,38541940
1629379800,360.22,365.68,359.96,363.96,48499368
1629466200,365.06,368.14,364.74,367.73,39486034
1629725400,368.8,373.935,368.79,373.23,34034744
1629811800,373.84,374.99,373.36,374.37,21732913
1629898200,374.63,375.39,373.855,374.8,20441880
1629984600,373.92,374.62,371.97,372.42,29133325
1630071000,373.07,376.56,372.57,376.04,27104749
1630330200,376.85,380.76,376.83,380.26,27295665
